Human,Assistant
tell be about overhead cable curl,also known as a crucifix curl the overhead cable curl is a bicepsfocused exercise performed between two cable stacks using a pair of dhandles the arms and elbows are held at shoulder height throughout the movement and both hands curl in toward the ears this position is designed to eliminate shoulder involvement and momentum while targeting the biceps peak this movement is generally done for moderate to high reps such as  reps per set or more as part of armfocused training
tell be about standing onearm cable curl,the singlearm cable biceps curl is a singlejoint isolation exercise for building the biceps this move is intended to be strict and deliberate this is not an exercise for using momentum or otherwise cheating
tell be about standing biceps cable curl,the cable straightbar biceps curl takes a classic bodybuilding exercise the standing barbell curl and replaces the barbell with a handle attached to a cable this is a common burnout move performed for moderate to high reps such as  reps per set as part of an upperbody or armfocused workout
tell be about cable rope hammer curl,the cable rope hammer curl is a popular armfocused exercise performed with a rope handle attached by a cable to a weight stack it uses a neutral palms facing one another grip which targets the forearms and brachialis muscles in addition to the biceps because grip is a limitation it is usually performed for moderate to high reps such as  reps per set or more
tell be about lying cable biceps curl,the lying cable biceps curl is a cable exercise that targets the biceps it is performed lying on the back either on a bench or the ground with the feet facing toward a cable stack this movement is usually performed for moderate to high reps for a burn and pump as part of an armfocused workout
tell be about cable rope preacher hammer curl,the cable rope preacher hammer curl is a singlejoint arm exercise that builds strength and size in the biceps using a cable stack a preacher bench and a rope grip the neutral or hammer grip amplifies activation of both the grip and the brachialis muscles building arm thickness the angle of the bench also effectively removes the shoulders from the movement largely isolating the biceps it is generally performed for higher reps at least  per set
tell be about lying closegrip bar curl on high pulley,the lying highcable biceps curl is an unusual move for building the bicepsbut its a highly effective one lying prone and curling down toward you provides a different stimulus than more standard approaches allow
tell be about machine preacher curls,the machine preacher curl is an isolation exercise targeting the biceps
tell be about ezbar curl,the standing ezbar curl is an immensely popular exercise targeting the biceps it is commonly performed for moderate to high reps as part of an upper body or armsfocused workout many gyms even have ezbars at fixed weights allowing for easy weight changes
tell be about reverse barbell preacher curls,the reversegrip barbell curl is a variation on the biceps curl where the palms face downward the switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise if it is uncomfortable to the wrists try performing it on the angles of an ezcurl bar
tell be about calf smr,calf selfmyofascial release smr is a selfadministered softtissue treatment for the lower body usually using a foam roller lacrosse ball or other trigger point massage tool by applying pressure strategically to the calf muscles of the lower leg some people find they can cause this often painful and tight muscle to relax or release calf smr is often accompanied by smr on the quadriceps muscles or by stretches that target the calves
tell be about standing barbell calf raise,the standing barbell calf raise is a popular exercise to target the calf muscles of the lower leg particularly the gastrocnemius muscle it can be performed for time or for reps either using a barbell or smith machine bar if balance is a problem
tell be about weighted donkey calf raise,the weighted donkey calk raise is a strength and musclebuilding exercise focused on the muscles of the lower leg most prominently the gastrocnemius muscle while traditional donkey calf raises involved either a specific machine or carrying another person on ones back this method uses a weight belt it can be done in traditional musclebuilding rep ranges or for higher reps as part of lowerbody training
tell be about smith machine calf raise,the smith machine standing calf raise is a machinebased exercise targeting the muscles of the calves particularly the gastrocnemius or upper calf muscle it is usually performed for moderate to high reps such as  reps per set or more as part of the lowerbody portion of a workout
tell be about standing calf raises,the standing calf raise is a popular movement to target the calf muscles of the lower leg and in particular the gastrocnemius muscles when unweighted it is usually performed for high reps or for time
tell be about seated calf raise,the machine seated calf raise is an exercise targeting the calf muscles of the lower leg particularly the soleus muscle it is usually performed for moderate to high reps such as  reps per set and occasionally for very high burnoutfocused sets of  total reps
tell be about calf press on the leg press machine,the leg press calf raise is an exercise that uses the leg press machine to work the calves with the toes and balls of your feet on the platform but heels off you push forward to work the calves
tell be about calf press,the standing calf raise is a popular movement to target the calf muscles of the lower leg and in particular the gastrocnemius muscles when unweighted it is usually performed for high reps or for time
tell be about wall calf stretch,the wall calf stretch is a stretch targeting the calf muscles this is a simple way to stretch these oftentight muscles without any equipment needed
tell be about closegrip bench press,the closegrip bench press is a popular exercise targeting the triceps and chest the main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together which places more of an emphasis on the triceps the closegrip bench press is often used as an accessory movement for the traditional bench press or as a triceps builder for arm training similar to the bench press it can be trained in low reps for strength or higher reps for muscle or strength endurance
tell be about barbell bench press  medium grip,the bench press is a compound exercise that builds strength and muscle in the chest and triceps when many people think of listing the bench press is often the first exercise that comes to mind
tell be about decline barbell bench press,the decline barbell bench press is a popular upperbody exercise targeting the lower pectoral muscles while it can be a strengthfocused movement it is usually performed for moderate to high reps such as  reps per set or more as part of upperbody or chestfocused training
tell be about widegrip bench press,the widegrip bench press is a compound exercise targeting the chest and to a lesser extent the triceps the main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar many lifters find they can handle more weight going wide than with narrower grips although its also worth noting that plenty of bangedup lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain the widegrip bench is often used as a chestbuilding movement in chest or upperbody workouts or as an accessory movement for the traditional bench press
tell be about barbell incline bench press mediumgrip,the incline bench press is an upper body compound movement that targets the upper chest
tell be about board bench press,the board bench press is an upperbody exercise that is commonly performed as an assistance movement for the bench press it targets the same muscles as the bench press including the chest and shoulders but really focuses on the triceps because you can load it more heavily than a full bench press it allows you to overload the triceps and lock out of the bench press
tell be about barbell bench presswide grip,the widegrip bench pressis a compound exercise targeting the chest primarily the main difference between this exercise and the standard bench press is that the hands are placed wider apart on the bar
tell be about kettlebell plyo pushup,the kettlebell plyo pushup is an explosive upperbody movement that uses a kettlebell primarily as a platform for the hands a short step dumbbell or other stationary object could also be used in place of the kettlebell it can be performed for reps or time either for low reps to build explosive power or for higher reps for conditioning
tell be about kettlebell alternating floor press,the kettlebell alternating floor press limits the range of motion you would achieve with a dumbbell or kettlebell bench press but still targets the chest triceps and anterior delts this allows you to build strength in the top portion of the lift overload the triceps and work on strengthening the shoulder stabilizers
tell be about pushups,the pushup is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests its a classic movement to build upperbody muscle and strength emphasizing the chest triceps and shoulders but also working the upper back and core
tell be about incline pushup,the handselevated pushup is a variation on the pushup a bodyweight standard the hands are elevated so that your body is aligned at an angle to the floor rather than parallel
tell be about handselevated pushup,the handselevated pushup is a variation on the classic pushup where the hands are placed on a bench or other elevated surface having the hands higher than the feet makes it easier than pushups on the floor but also puts the emphasis more on the triceps it can be used as a substitute for floor pushups or as a mechanical dropset after maxing out on floor pushups
tell be about decline pushup,the feetelevated pushup is a variation on the pushup a bodyweight standard the feet are elevated so that your body is aligned at an angle to the floor rather than parallel
tell be about close pushup to wide pushup,the close pushup to wide pushup combines two variations of a pushup to emphasize the strengthening of different muscles the close pushup emphasizes the triceps while the wide pushup emphasizes the chest and shoulders
tell be about widegrip handselevated pushup,the widegrip handselevated pushup is a variation on the elevated pushup performed with the hands farther apart than with a standard pushup having the hands higher than the feet makes it easier than widegrip pushups on the floor but the extra width also puts more emphasis on the chest muscles it can be used as a substitute for widegrip floor pushups or as a mechanical dropset after maxing out on floor pushups
tell be about feetelevated pushup,the feetelevated pushup is a variation on the pushup a bodyweight standard the feet are elevated so that your body is aligned at an angle to the floor rather than parallel this makes it more difficult than pushups on the floor but also puts more emphasis on the shoulder muscles it is often used as a bodyweight substitute for incline presses or as a burnout movement for a chest or shoulder workout
tell be about isometric wipers,the typewriter pushup is an advanced pushup variation where the hands are extra wide and you lower toward each hand in alternating reps it is more challenging to each working arm than traditional pushups and also stretches and challenges the chest
tell be about clock pushup,the clock pushup is a series of regular pushups performed one at a time moving your hands one step to the side between each one until youve completed a full circle it targets the same muscles as traditional pushups such as the chest triceps and shoulders but adds an endurance and core challenge to traditional pushups
tell be about pushup wide,the wide pushup is a variation of the pushup with the hands wider than shoulderwidth apart it targets upperbody muscle groups including the chest shoulders and triceps but has more of a chest emphasis than narrowergrip pushup variations if wide pushups lead to pain in the front of your shoulder opt for a narrower version
tell be about sphinx pushup,the sphinx pushup is a difficult variation of the pushup that ends with the forearms on the ground in front of the body rather than with the chest on the ground it puts more stress on the triceps than traditional pushups it can be performed for time or reps in any bodyweight workout or during any armsfocused portion of a workout
tell be about closehands pushup,the close pushup is an upperbody exercise that targets the chest triceps and shoulders the close hand position places more emphasis on the triceps
tell be about tigerbend pushup,the tigerbend pushup is an advanced pushup variation where you shift onto your forearms at the bottom position and then back onto your hands and up again it targets the triceps far more than regular pushups
tell be about plyo pushup,the plyo pushup is a bodyweight exercise aimed at increasing upperbody power and strength it targets the muscles of the chest triceps and shoulders and can be trained in low reps for power and strength or higher reps for conditioning
tell be about closegrip handselevated pushup,the closegrip handselevated pushup is a variation on the classic pushup where the hands are placed on a bench or other elevated surface having the hands higher than the feet makes it easier than closegrip pushups on the floor but also puts the emphasis more on the triceps it can be used as a substitute for floor pushups or closegrip pushups or as a mechanical dropset after maxing out on floor pushups
tell be about suspended pushup,the suspended pushup is a bodyweight pushing exercise performed on a suspension strap system or gymnastic rings it targets the chest shoulders and triceps but is also challenging to the core and upper back it can work in traditional strength and musclebuilding rep ranges or for higher reps
tell be about push up to side plank,the pushup to side plank is an upperbody and corefocused exercise combining two popular bodyweight movements it targets the chest triceps and shoulders with the pushup and the obliques and hip external rotator muscles with the side plank it can be performed as part of a dynamic warmup or any bodyweight strengthtraining workout
tell be about sidetoside pushup,the sidetoside pushup is a variation of the pushup exercise where you sidestep the opposite hand and foot and perform a pushup
tell be about staggered pushup,the staggered pushup is a variation of the pushup exercise where your hand position is staggered with one hand forward and one back it targets the same muscles as a traditional pushup including the chest triceps and shoulders but is more difficult to the rear arm and core
tell be about reversegrip handselevated pushup,the reversegrip handselevated pushup is a bodyweight exercise performed on a smith machine or other elevated surface it targets the chest triceps and shoulders it can work as a regression of floor reversegrip pushups or in a progressive mechanical dropset moving the bar up once you reach failure at a lower height
tell be about butterfly,the machine chest fly is an exercise targeting the chest the motion is often compared to bearhugging a tree trunk in chest workouts this exercise often follows compound moves such as the bench press
tell be about leverage chest press,the machine chest press is an upper body exercise targeting the pectoral muscles
tell be about decline smith press,the smith machine decline bench press is a machinebased exercise targeting the chest muscles particularly the lower pectoral muscles the smith machine mimics a barbell but provides more stability this movement is often performed for moderate to high reps such as  reps per set or more as part of a chest or upperbody workout
tell be about smith machine bench press,the smith machine bench press is a machinebased movement targeting the chest the smith machine mimics a barbell but provides more stability this movement can be programmed in low reps for strength or higher reps for muscle and strength endurance it is often performed for moderate to high reps such as  reps per set or more as part of a chest or upperbody focused workout
tell be about machine chest press,the machine chest press is a machinebased exercise targeting the chest it approximates the motion of a bench press but is usually performed facing forward and seated upright many machines offer multiple grip options such as overhand neutral palms facing or underhand the chest press is often performed for moderate to high reps such as  reps per set or more as part of a preexhaust or musclebuilding upperbody workout
tell be about smith machine incline bench press,the smith machine incline bench press is a machinebased movement targeting the chest particularly the upper chest the smith machine mimics a barbell but provides more stability this movement can be programmed in low reps for strength or higher reps for muscle and strength endurance it is often performed for moderate to high reps such as  reps per set or more as part of a chest or upperbody focused workout
tell be about smith machine closegrip bench press,the smith machine closegrip bench press is a machinebased movement targeting the chest and triceps the smith machine mimics a barbell but provides more stability this movement can be programmed in low reps for strength or higher reps for muscle and strength endurance it is often performed for moderate to high reps such as  reps per set or more as part of a chest arms or upperbody focused workout
tell be about smith machine decline press,the smith machine decline bench press is a machinebased exercise targeting the chest muscles particularly the lower pectoral muscles the smith machine mimics a barbell but provides more stability this movement is often performed for moderate to high reps such as  reps per set or more as part of a chest or upperbody workout
tell be about lowcable crossover,the lowcable crossover is an isolation movement that uses a cable stack to target the upper portion of the pectoral muscles it is common in upperbody and chestfocused musclebuilding workouts often in combination with presses or flyes from other angles to target all portions of the chest
tell be about incline cable chest fly,the incline cable chest fly is an isolation movement that uses a cable stack and an incline bench to target the upper portion of the pectoral muscles it is common in upperbody and chestfocused musclebuilding workouts often after pressing movements like the barbell or dumbbell bench press or as a finishing movement at the end of the workout it is often used in combination with other flyes to target the chest from different angles
tell be about cable crossover,the cable crossover is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles since its done using adjustable pulleys you can target different parts of your chest by setting the pulleys at different levels it is common in upper body and chestfocused musclebuilding workouts often as a preexhaust at the beginning of a workout or a finishing movement at the end it is often in combination with other presses or flyes to target the chest from different angles
tell be about incline cable chest press,the incline cable chest press is a pressing movement that uses a cable stack and an incline bench to target the upper portion of the pectoral muscles similar to an incline dumbbell press it is common in upperbody and chestfocused musclebuilding workouts where it can be effective as a primary movement in classic hypertrophy rep ranges as a preexhaust or as a highrep finisher it is often used in combination with other presses or flyes to target the chest from different angles
tell be about singlearm cable crossover,the singlearm cable crossover is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles working the chest one side at a time allows you to focus on the balance between the sides of your chest and really feel the chest muscles contracting it is common in upperbody and chestfocused musclebuilding workouts often in combination with other presses or flyes to target the chest from different angles
tell be about cable crossover,the cable crossover is an isolation movement that uses a cable stack to build bigger and stronger pectoral muscles since its done using adjustable pulleys you can target different parts of your chest by setting the pulleys at different levels it is common in upperbody and chestfocused musclebuilding workouts often as a preexhaust at the beginning of a workout or a finishing movement at the end it is often used in combination with other presses or flyes to target the chest from different angles
tell be about lying cable chest fly,the lying cable chest fly is an isolation movement that uses a cable stack and a flat bench to build bigger and stronger pectoral muscles it is common in upperbody and chestfocused musclebuilding workouts often as a preexhaust at the beginning of a workout or as a finishing movement at the end it is often used in combination with other presses or flyes to target the chest from different angles
tell be about medicine ball chest pass,the medicine ball pass is a simple partnerbased exercise that involves throwing a weighted ball backandforth it can be part of a dynamic warmup for lifting or athletics but can also work as active rest or as a component of circuit training
tell be about dumbbell bench press,the dumbbell bench press is a mainstay of workout enthusiasts worldwide its a classic move for building a bigger stronger chest as such its often placed first in massbuilding chest workouts
tell be about dumbbell flyes,the dumbbell chest fly is a popular exercise that targets the pectoral or chest muscles it attempts to isolate the chest muscles stretching and contracting them while limiting involvement of the shoulders unlike a press where the elbows bend and flex flyes should keep a relatively consistent elbow angle the motion is sometimes compared to hugging a tree dumbbell flyes are usually performed for moderate to high reps such as  reps per set or more as part of a chest or upperbody focused workout
tell be about incline dumbbell bench press,the incline dumbbell bench press is a popular upperbody exercise targeting the upper pectoral muscles while it can be a strengthfocused movement it is usually performed for moderate to high reps such as  reps per set or more as part of upperbody or chestfocused training
tell be about decline dumbbell flyes,the decline dumbbell chest fly is an upper body isolation exercise targeting the lower chest it will require less weight than a decline press which makes it a great hypertrophy exercise with high reps
tell be about reversegrip incline dumbbell bench press,the reversegrip incline dumbbell bench press is an upperbody exercise targeting the pectoral muscles pressing with a reverse grip targets the upper chest in particular especially when performed on an incline this press variation is usually performed for moderate to high reps such as  reps per set or more as part of upperbody or chestfocused training
tell be about incline dumbbell flyes,the incline dumbbell chest fly is an upper body isolation exercise targeting the upper chest and is typically used with aesthetic goals in mind it will require less weight than an incline press which makes it a great hypertrophy exercise with high reps
tell be about neutralgrip dumbbell bench press,the neutralgrip dumbbell bench press is a variation on a classic chestbuilding exercise where the palms face each other instead of forward this shift puts the elbows closer to the sides placing more emphasis on the triceps and perhaps also the inner chest the neutralgrip press can be performed in lower reps for strength or higher reps for muscle growth
tell be about decline dumbbell bench press,the decline dumbbell bench press is a popular upperbody exercise targeting the lower pectoral muscles while it can be a strengthfocused movement it is usually performed for moderate to high reps such as  reps per set or more as part of upperbody or chestfocused training
tell be about singlearm kettlebell row,the singlearm kettlebell row is a popular muscle and strengthbuilding exercise that works the muscles of the back and core simultaneously it has all the same benefits as a singlearm dumbbell row but some people find a kettlebell more comfortable to hold during the movement
tell be about straightarm dumbbell pullover,the straightarm dumbbell pullover is an exercise that targets the muscles of the pecs lats and serratus anterior muscles performing this movement with straight arms makes it more difficult increases the stretch on the serratus muscles and lats and forces the core to work harder oldschool bodybuilders would perform pullovers with light weights for sets of  between sets of heavy rep squats but they are more popular today in moderate rep ranges such as  reps per set as part of an upperbody workout
tell be about bentarm dumbbell pullover,the bentarm dumbbell pullover was a staple exercise of the golden era of bodybuilding and a favorite of arnold schwarzenegger himself done properly the exercise targets the pecs lats and serratus anterior muscles oldschool bodybuilders would perform them with light weights for sets of  between sets of heavy rep squats but pullovers are more popular today in moderate rep ranges such as  reps per set as part of an upperbody workout
tell be about closegrip dumbbell bench press,the closegrip dumbbell bench press is a popular variation of the dumbbell bench press in which the dumbbells are held closer than shoulder width this places more emphasis on the triceps and perhaps also the inner chest the closegrip dumbbell bench press can be performed in lower reps for strength or higher reps for muscle growth
tell be about singledumbbell pushup,the singledumbbell pushup is a more difficult pushup variation where you balance your hands on the ends of a dumbbell this simple change makes many muscle groups work harder helping encourage muscle and strength gains across the upper body
tell be about bodyweight flyes,the doublebar rollout chest fly is a chest exercise that utilizes two rotating barbells as handles for a chest fly it targets the muscles of the chest but is also an intense core workout its a tough movement that is usually performed in the chestfocused portion of a workout
tell be about closegrip ezbar bench press,the closegrip ezbar bench press is an exercise targeting the chest shoulders and triceps this move is more commonly done with a straight bar and is often only performed with an ezbar as part of a complex of movements such as pullovers or skullcrushers
tell be about chest dip,the chest dip is a bodyweight exercise performed on parallel bars or on a pullup and dip station it targets the chest triceps and shoulders dips with a chest focus are usually performed with the torso leaning forward and the elbows angled out from the torso dips can be performed for low reps for strength or higher reps for muscle growth
tell be about passthrough stretch with band,the passthrough stretch with band is a popular move to build and maintain mobility in the shoulder joint and to strengthen the muscles of the upper back and rotator cuff it is common in crossfit and olympic lifting training and is usually performed as part of a warmup or paired with movements in a workout it can also be performed with a pvc pipe or dowel if a band isnt available
tell be about exercise ball chest stretch,the exercise ball chest stretch is a simple stretch for the pectoral muscles that can be made more dynamic with help from a medicine ball it can work in a dynamic warmup paired with movements in a workout or as part of a cooldown or recovery strategy if the stretch causes pain in the front of your shoulder dial back the intensity or choose another chest stretch
tell be about palmsdown wrist curl over bench,the palmsdown wrist curl over bench is an exercise targeting the forearms it is usually performed for high reps such as  reps per set or more as part of a grip or armfocused workout
tell be about palmsup wrist curl over bench,the palmsup wrist curl over bench is an exercise targeting the forearms it is usually performed for high reps such as  reps per set or more as part of a grip or armfocused workout
tell be about standing behindtheback wrist curl,the standing behindtheback wrist curl is a popular exercise to target the muscles in the forearms wrists and fingers it is generally performed for moderate to high reps such as  reps per set and can work as isolated forearm training or as part of an armsfocused workout
tell be about seated finger curl,the seated finger curl is an exercise targeting the muscles of the hands and forearms it is popular with rock climbers and other athletes looking to build forearm size and strength the range of motion is tiny but done for moderate to high reps these will definitely make the forearms burn
tell be about seated palmsup wrist curl,the seated palmsup wrist curl is an exercise targeting the forearms it is usually performed for high reps such as  reps per set or more as part of a grip or armfocused workout
tell be about seated palmsdown wrist curl,the seated palmsdown wrist curl is an exercise targeting the forearms it is usually performed for high reps such as  reps per set or more as part of a grip or armfocused workout
tell be about partner farmers walk,the partner farmers walk is a protocol for performing farmers carries with dumbbells or other weights one partner walks for a predetermined distance or time then passes the weight to the other partner who walks for the same distance or time
tell be about suitcase dumbbell carry,the dumbbell suitcase carry is similar to a dumbbell farmers carry but only uses one dumbbell rather than two this simple change provides a significant challenge to the abdominal muscles it can be a challenging finisher to any workout or work well in fatloss circuit training or as an accessory movement to heavy lifts like the deadlift
tell be about dumbbell farmers walk,the dumbbell farmers walk is an exercise with roots in competitive strongman training but which is also popular in crossfit and functional training it can be a challenging finisher to any workout or work well in fatloss circuit training or as an accessory movement to heavy lifts like the deadlift
tell be about piriformis smr,piriformis selfmyofascial release smr is a selfadministered softtissue treatment for the lower body usually using a foam roller lacrosse ball or other trigger point massage tool by applying pressure strategically to the piriformis muscles in the upper gluteal region some people find they can cause this often painful and tight muscle to relax or release piriformis smr is often accompanied by smr on the iliotibial it band or tensor fascia lata tfl muscles or by stretches that target the glutes and hips
tell be about barbell glute bridge,the barbell glute bridge is a popular exercise targeting the muscles of the glutes and hamstrings it can be done as a strength movement on its own as an activation drill or warmup for lowerbody training or as a burnout at the end of a lowerbody workout
tell be about barbell hip thrust,the barbell hip thrust is an exercise that engages the posterior chain particular the glutes it involves fully extending your hips while holding a weighted barbell across the midsection
tell be about kettlebell thruster,the kettlebell thruster is a popular kettlebell movement that combines a kettlebell front squat with a kettlebell press while holding the bell in a goblet or bottomsup grip it is preceded by a clean at the start of each set and you can perform a clean between each rep if you choose it can be trained in traditional strength or musclebuilding rep ranges in circuit or fatloss training or as part of a larger kettlebell combination or complex
tell be about singleleg cable hip extension,the singleleg cable hip extension is an isolation exercise that targets the glutes specifically the gluteus maximus it is a common burnout movement on a lowerbody focused day and is usually performed for moderate to high reps such as  reps per set or more
tell be about glute bridge,the glute bridge is a popular lowerbody bodyweight exercise that primarily targets the glutes but also activates the lower back and hamstrings it can be performed with body weight alone or with added resistance such as barbells dumbbells or bands it can be performed for time or reps and works perfectly in a dynamic warmup for lowerbody training but can also be performed for glute activation anytime
tell be about singleleg glute bridge,the singleleg glute bridge is a lowerbody exercise that targets the glutes lower back and hamstrings it is performed one side at a time
tell be about stepup with knee raise,the stepup with knee raise is a lowerbody exercise targeting the quads glutes and hamstrings it differs from a traditional stepup in that at the top you lift the trailing leg up to full hip flexion this gives the exercise a greater range of motion and more of a focus on powerful hip extension in the working leg when performed with body weight these are usually performed for high reps as part of a dynamic warmup as cardio acceleration or as part of the lowerbody portion of a workout or circuit
tell be about standing hip extension,the standing hip extension is a movement that activates the glutes and hamstrings it is often performed either for time or reps as part of a dynamic warmup
tell be about lying glute stretch,the lying glute stretch is a stretch to help increase flexibility in the glutes and hips it involves rotating a single leg over the body while lying flat on the back and reaching around the leg to facilitate a stretch it is commonly included in dynamic warmups or cooldowns but can also be performed as fullbody mobility work anytime
tell be about exercise ball hip thrust,the exercise ball hip thrust is a simple yet effective way to work the glutes and hamstrings proper form is essential to really feel the burn in the glutes and the ball can help guide you into the right form better than a bench which is the usual support for hip thrusts unlike the bench version the ball hip thrust is best performed with body weight or bands as resistance for safety reasons it can be an excellent component of a warmup for lowerbody training or a glute activation drill performed anytime
tell be about barbell deadlift,the barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain it is a competition lift in the sport of powerlifting but is also considered a classic benchmark of overall strength when performed with the hands outside the knees it is often called a conventional deadlift when the feet are wide and the hands are inside the knees it is a sumo deadlift
tell be about sumo deadlift,the sumo deadlift is a compound movement in which the feet are set in a wide stance with toes pointed out and grip is placed inside of the legs it is allowed to be performed instead of conventional deadlifts in most powerlifting competitions the sumo deadlift targets the hamstrings glutes and upper backtraps but also has a greater emphasis on stretching and strengthening the adductor and hip muscles due to the wide stance
tell be about power clean,the power clean is a fullbody movement in which the bar is pulled from the floor and caught in the front rack position in three pulls or phases the bar is received in the power position with the hips higher than a fulldepth squat position the power clean can be used as a component of the clean and press or clean and jerk but is also a valuable lift to build explosive power and strength
tell be about good morning,the barbell good morning is an exercise that targets glute hamstring and lower back development it is often trained as an accessory movement to the deadlift but also has value on its own it is sometimes performed for reps in traditional strengthfocused rep ranges such as  reps per set but due to the risk posed to the lower back is rarely treated as a maxeffort singlerep lift
tell be about barbell stifflegged deadlift,the barbell stifflegged deadlift targets the hamstrings glutes lower and upper back as well as the core it is a popular accessory movement for the deadlift but also a musclebuilding hamstring movement
tell be about romanian deadlift,the barbell stifflegged deadlift targets the hamstrings glutes lower and upper back as well as the core it is a popular accessory movement for the deadlift but also a musclebuilding hamstring movement
tell be about stifflegged deadlift,the barbell stifflegged deadlift targets the hamstrings glutes lower and upper back as well as the core it is a popular accessory movement for the deadlift but also a musclebuilding hamstring movement
tell be about kettlebell passthrough lunge,the kettlebell passthrough lunge is a dynamic leg and core exercise in which a lifter passes a weight under their front leg during lunges it is a unique coordination challenge but also challenging to the musculature of the abdomen lower body shoulders and upper back it is most commonly performed for higher reps such as  reps per side or for time it can work in circuitstyle workouts or in lowerbody or fullbody timeefficient training
tell be about kettlebell onelegged deadlift,the kettlebell singleleg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement its popular in lowerbody training for strength and muscle building but also trains balance grip and the core muscles
tell be about singlearm kettlebell clean,the singlearm kettlebell clean is an explosive kettlebell exercise where the lifter pulls the weight to shoulder level in a single movement while the kettlebell clean is often used as a transitional movement into the press or front squat it is also a valuable strength and power exercise in its own right it can be performed in low rep ranges for strength or higher rep ranges for technique practice or muscle growth
tell be about singleleg kettlebell deadlift,the kettlebell singleleg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement its popular in lowerbody training for strength and muscle building but also trains balance grip and the core muscles
tell be about singlearm kettlebell swing,the singlearm kettlebell swing is a popular exercise emphasizing the muscles of the hamstrings glutes and back because you are only swinging with one arm at a time it is also uniquely challenging to the grip and core muscles it is often used to train explosive power for aerobic or cardiovascular conditioning or in circuit training
tell be about romanian deadlift with dumbbells,the dumbbell stifflegged deadlift targets the hamstrings glutes low and upper back as well as the core the purpose of the stifflegged as opposed to romanian deadlift with slightly bent knees is to engage the hamstrings and low back to an even greater degree
tell be about stifflegged dumbbell deadlift,the dumbbell stifflegged deadlift targets the hamstrings glutes low and upper back as well as the core the purpose of the stifflegged as opposed to romanian deadlift with slightly bent knees is to engage the hamstrings and low back to an even greater degree
tell be about box jump,the box jump is an explosive exercise that strengthens the muscles of the lower body including the quads glutes calves and hamstrings they also develop power in the lower body while revving the heart rate box jumps can be performed for low reps to focus on strength and power or for higher reps for metabolic conditioning most coaches recommend stepping down rather than jumping down between reps
tell be about box jump multiple response,the box jump is a plyometric exercise that strengthens the muscles of the lower body including the quads glutes calves and hamstrings they also develop power in the lowerbody while revving the heart rate
tell be about sled push,the sled push is a conditioning exercise that targets the cardiovascular system and the muscles of the lower body it involves pushing a sled along turf or another flat surface either for time or distance depending on your type of equipment you may be pushing handles or straps in front of the sled it can be used as part of a dynamic warmup or for power training as a finisher or as part of a conditioning workout or circuit
tell be about lying leg curls,the lying leg curl is a popular machinebased exercise for the legs particularly the hamstrings it is similar to the seated leg curl but the open hip angle in the lying leg curl may incorporate more glute and calf activation it is usually performed for moderate to high reps such as  reps per set or more as part of a leg preexhaust or as a musclebuilding movement for lowerbody training
tell be about glute ham raise,the glute ham raise is an exercise targeting the glutes and hamstrings on a ghd
tell be about seated leg curl,the leg curl is a popular machinebased exercise for the legs particularly the hamstrings it comes in seated and lying varieties but the seated leg curl machine is more common in commercial gyms leg curl variations are usually performed for moderate to high reps such as  reps per set or more as part of a leg preexhaust or as a musclebuilding movement for lowerbody training
tell be about smith machine stifflegged deadlift,the smith machine stifflegged deadlift is a machinebased exercise targeting the muscles of the hamstrings glutes and upper back the smith machine mimics a barbell but provides more stability this movement can be programmed like a traditional stifflegged or romanian deadlift in low reps for strength or higher reps for muscle and strength endurance it is often performed for moderate to high reps such as  reps per set or more as part of a fullbody or lowerbody workout
tell be about natural glute ham raise,the glute ham raise is an exercise targeting the glutes and hamstrings on a ghd
tell be about standing leg swing,the standing leg swing is a dynamic stretching exercise that involves moving one leg up in front of you as if to punt an imaginary football this is a classic move for warming up the body and stretching the hamstrings
tell be about knee tuck jump,the tuck jump is a vertical jump an explosive lowerbody exercise that is a common way to measure explosive hip and lowerbody strength in athletes the more explosive you are the higher youll be able to jump
tell be about inchworm,the inchworm is a popular bodyweight exercise that involves walking the hands on the floor from a bentover toetouch position into a straightarm plank it is usually performed as part of a dynamic warmup to help raise core body temperature and limber up the body from head to toe
tell be about lying groin stretch with band,the lying groin stretch with band is a simple way to stretch a chronically tight muscle group of the lower body it is common in stretching and yoga classes but can also be performed individually as part of a warmup paired with movements in a workout or as part of a cooldown or recovery strategy
tell be about worlds greatest stretch,the worlds greatest stretch is a popular movement that earned its name because it targets multiple parts of the body including the hips shoulders and thoracic spine in a single sequence this makes it a great dynamic warmup postworkout stretch or mobility work you can do anytime
